Player,Pos,90s,PrgC,PrgP,PrgR,Succ Takeons,Attakcking Third Carries,Long Passes Cmp,xA,Pass Cmp%,Pass PrgDist,TklW,Blocks,Int,Recov
Leonardo Spinazzola,DF,8,58,29,32,10,36,26,1.9,77,1604,4,5,1,43
Marco Sportiello,GK,2,0,0,0,0,0,15,0,85.9,989,0,0,0,6
Anton Stach,MF,6.9,18,44,16,6,10,27,0.6,79.3,1453,11,7,19,79
Anton Stach,MF,1.9,3,8,10,3,3,3,0.1,63.2,168,0,5,2,13
Jens Stage,MF,10,8,28,22,1,3,12,0.9,75.3,1319,6,13,9,67
Josip Stanišić,DF,1.8,6,9,2,0,9,8,0.2,87.6,570,2,1,3,17
Carl Starfelt,DF,12,1,18,0,0,1,25,0,86.7,2430,10,19,14,68
Niklas Stark,DF,4,1,5,0,0,0,18,0.1,71.4,1362,6,5,3,25
Jason Steele,GK,7,0,0,0,0,0,39,0,87.5,3636,0,0,0,14
Pascal Stenzel,DF,6.6,22,48,27,3,17,67,1.6,84.7,2419,6,11,9,31
Leonidas Stergiou,"DF,MF",0.2,1,1,0,0,0,0,0,75,69,2,0,0,3
Raheem Sterling,"FW,MF",11,73,34,132,29,28,7,1.8,72.4,799,6,4,4,46
Trivante Stewart,"FW,MF",1.1,2,0,6,2,2,1,0,66.7,20,0,1,0,3
Angelo Stiller,MF,0.9,2,7,3,0,0,5,0.1,83.7,273,0,2,0,1
Angelo Stiller,MF,9,12,73,23,9,14,44,1.8,90,3153,12,11,11,62
Kevin Stöger,MF,9.6,23,84,33,7,17,49,2.8,65.4,2696,14,10,9,75
Filip Stojilković,"FW,MF",1.6,4,3,9,1,2,0,0,50,45,1,0,0,3
John Stones,"DF,MF",2.9,2,7,5,0,2,8,0.1,96.9,560,1,2,2,10
Thomas Strakosha,GK,1.5,0,0,0,0,0,19,0,73.2,977,0,0,0,1
Jørgen Strand Larsen,"FW,MF",11.1,15,8,46,17,9,6,0.5,69.3,269,4,4,2,36
Gabriel Strefezza,FW,7.8,26,36,59,12,30,22,1.1,72.5,943,11,11,4,36
Kevin Strootman,MF,5.5,6,20,4,1,4,15,0.8,79.1,957,9,9,2,31
Cristhian Stuani,FW,4.9,2,2,16,1,1,1,0.2,71.1,89,8,1,1,7
Álex Suárez,DF,11.8,12,40,4,5,8,50,0.2,85.8,3829,17,9,10,54
Damián Suárez,"DF,MF",10.3,12,38,31,5,7,44,0.8,65.6,2555,19,8,8,64
Denis Suárez,"MF,FW",1.5,4,13,7,5,1,5,0.6,84,518,0,2,0,8
Gabriel Suazo,DF,9.2,16,45,47,20,22,26,1.1,78.4,2531,12,18,9,59
Isaac Success,FW,6,11,11,29,10,9,9,0.3,61.1,313,3,2,1,17
Niklas Süle,DF,4.6,9,37,3,0,5,39,0.1,91.8,2135,4,11,4,24
Ibrahim Sulemana,MF,4.8,5,8,6,4,2,18,0.1,79.6,433,1,12,3,41
Tomáš Suslov,"MF,FW",3.6,2,9,10,4,7,9,0.2,78,163,2,3,0,18
Suso,"FW,MF",6.8,24,62,59,14,18,38,2.6,76.1,1643,7,2,3,33
Mattias Svanberg,MF,8.8,12,49,24,6,7,21,0.7,76.2,1460,8,10,9,45
Williot Swedberg,"FW,MF",0.5,1,1,4,2,0,1,0,70,56,1,0,0,5
Abakar Sylla,DF,4,1,16,1,6,2,23,0,83.1,1517,9,7,6,27
Dembo Sylla,DF,0.5,0,1,6,0,1,3,0,86.4,24,1,0,1,0
Issiaga Sylla,DF,8,10,21,22,6,9,29,0.4,74.2,2160,9,5,11,50
Mamadou Sylla,"FW,MF",0.2,0,1,1,0,0,1,0,42.9,6,0,1,0,1
Attila Szalai,DF,2.2,0,8,3,0,1,6,0.2,75.6,751,0,5,0,9
Wojciech Szczęsny,GK,10,0,0,0,0,0,100,0,78.6,5571,0,0,0,9
Dominik Szoboszlai,MF,11.7,33,82,74,13,34,57,2.5,84.9,2726,10,24,7,88
Przemysław Szymiński,MF,0.1,0,0,0,0,0,0,0,50,10,0,1,0,1
Alexander Sørloth,FW,10.8,19,10,57,14,14,5,0.6,72.7,165,2,5,0,22
Musa Al-Taamari,FW,9,37,21,61,23,30,8,0.5,72,620,11,10,2,35
Nicolás Tagliafico,DF,9.9,14,41,52,3,12,22,0.6,84.2,2117,12,10,7,32
